name,Inf_0,Inf_1,Inf_2,Inf_3,Inf_4,Inf_5,Inf_6,Inf_7,Inf_8,Inf_9,Inf_10,Inf_11,Inf_12
повыродиться,сов,неп,,НБII3ж,П1,Пв2!,С,,,ППД1в,,,ДП2
повякать,сов,неп,,НБI3,П1,Пв1,С,,,ППД1в,,,ДП1
погазовать,сов,неп,,НБI9у,П1,Пв1,С,,,ППД1в,,,ДП1
погрипповать,сов,неп,,НБI9у,П1,Пв1,С,,,ППД1в,,,ДП1
подвиснуть,сов,неп,,НБI4,П9,Пв2,С,,,ППД2в&5,,,ДП9&10
подвсплыть,сов,неп,,НБI2в,П1,Пв2,С,,,ППД1в,,,ДП2
подгримировывать,нес,пер,,НБI3,П1,Пв1,,ПНД1,ПНС1,ППД1в,,ДН1,ДП1
поддомкратить,сов,пер,,НБII3ч,П1,Пв3,С,,,ППД1в,ППС2,,ДП2
поддомкрачивать,нес,пер,,НБI3,П1,Пв1,,ПНД1,ПНС1,ППД1в,,ДН1,ДП1
подзавести,сов,пер,,НБI4д,П5,Пв2,С,,,ППД1в,ППС2,,ДП8
подзавестись,сов,неп,,НБI4д,П5,Пв2,С,,,ППД1в,,,ДП8
подзаводить,нес,пер,,НБII3ж,П1,Пв2!,,ПНД1,ПНС2,ППД1в,,ДН1,ДП1
подзаводиться,нес,неп,,НБII3ж,П1,Пв2!,,ПНД1,,ППД1в,,ДН1,ДП1
подзадержаться,сов,неп,,НБII1,П1,Пв2!,С,,,ППД1в,,,ДП3
подзалететь,сов,неп,,НБII3ч,П1,Пв2!,С,,,ППД1в,,,ДП2
подзапоздать,сов,неп,,НБI3,П1,Пв1,С,,,ППД1в,,,ДП1
подзаправить,сов,пер,,НБII2л,П1,Пв3,С,,,ППД1в,ППС2,,ДП2
подзарасти,сов,неп,,НБI1,П10о,Пв2**,С,,,ППД1в,,,ДП4
подзарядиться,сов,неп,,НБII3ж,П1,Пв2!,С,,,ППД1в,,,ДП2
подзаряжаться,нес,неп,,НБI3,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
подкалымить,сов,неп,,НБII2л,П1,Пв3,С,,,ППД1в,,,ДП2
подмогнуть,сов,неп,,НБI4,П2,Пв2,С,,,ППД2в,,,ДП1
поднапрячься,сов,неп,,НБI2г,П3г,Пв2,С,,,ППД1в,,,ДП4
подостыть,сов,неп,,НБI2н,П1,Пв3,С,,,ППД1в,,,ДП1
подотстать,сов,неп,,НБI2н,П1,Пв3,С,,,ППД1в,,,ДП1
подразболтаться,сов,неп,,НБI3,П1,Пв1,С,,,ППД1в,,,ДП1
подраспустить,сов,пер,,НБII5щ,П1,Пв2!,С,,,ППД1в,ППС2,,ДП2
подредактировать,сов,пер,,НБI9у,П1,Пв1,С,,,ППД1в,ППС1,,ДП1
подробничать,нес,неп,,НБI3,П1,Пв1,,ПНД1,,ППД1в,,ДН1,ДП1
подровняться,сов,неп,,НБI3,П1,Пв1,С,,,ППД1в,,,ДП1
подсоединиться,сов,неп,,НБII2,П1,Пв2!,С,,,ППД1в,,,ДП2
подсуетиться,сов,неп,,НБII3ч,П1,Пв2!,С,,,ППД1в,,,ДП2
поерничать,сов,неп,,НБI3,П1,Пв1,С,,,ППД1в,,,ДП1
поерошить,сов,пер,,НБII1,П1,Пв3,С,,,ППД1в,ППС2,,ДП3
поехидничать,сов,неп,,НБI3,П1,Пв1,С,,,ППД1в,,,ДП1
пожонглировать,сов,неп,,НБI9у,П1,Пв1,С,,,ППД1в,,,ДП1
позамерзать,сов,неп,,НБI3,П1,Пв1,С,,,ППД1в,,,ДП1
позаржаветь,сов,неп,,НБI3,П1,Пв1,С,,,ППД1в,,,ДП1
позарывать,сов,пер,,НБI3,П1,Пв1,С,,,ППД1в,,,ДП1
поздоровкаться,сов,неп,,НБI3,П1,Пв1,С,,,ППД1в,,,ДП1
позиционировать,нес,пер,,НБI9у,П1,Пв1,,ПНД1,ПНС1,ППД1в,ППС1,ДН1,ДП1
